Var1,Var2,Var3,Var4,class
0.628675282823864,0.664012726360025,0.740695675059418,0.738227124295152,anger
0.381350279410803,1.58410056366299,0.515714885092999,0.929389316739062,anger
0.818354859057334,0.638973206264553,0.773001823793488,0.793757619645256,anger
1.99600679572788,0.993407125450004,0.792451847181802,0.409359803777677,anger
0.283013901201327,0.236490871071265,0.385332116700663,0.286197594854987,anger
0.943892381649398,0.87067236181938,0.57644338496765,0.576838501941129,anger
0.630137837228674,0.642965561558392,0.847191009545245,0.813626760804652,anger
0.196778258290558,0.256249355475604,0.424912958254884,0.465869772579404,anger
0.616284453424709,1.3561141619633,0.518991190010075,0.693749061323916,anger
1.20698241070597,1.54750653560142,0.390113083796422,0.506892789086101,anger
0.971061697678813,0.746445194870049,1.02453321504092,0.878481655860031,happy
0.447145792583233,1.72537732929301,1.50841057373564,0.762997824300433,happy
1.0629462350185,1.11462539594477,0.960423982789433,0.824234857172857,happy
1.07658601635771,0.851005383400763,0.673783205391332,0.416581843154425,happy
0.444811372004102,0.253786237462913,0.526322855270158,0.325927196512562,happy
1.32632068951121,1.06005788179402,0.804755247502933,0.596344169561,happy
0.804923279784209,0.887613028650602,0.673372829998659,0.716225845586145,happy
0.226692194520731,0.249106668228046,0.418487297914664,0.425856507159367,happy
0.406911993888612,1.12387438928291,0.40300202127089,0.725143424287438,happy
0.832589410011743,1.12906945404174,0.411577977305888,0.527469055967306,happy
